Cancer	Morbidity	Cohort	Positive	OR	Lower_CI	Upper_CI	pvalue
Haematopoietic	Liver fibrosis, sclerosis and cirrhosis	515|54634	9|131	2.252138028685023	1.471510640909093	3.4468834673976425	0.0001847471
Bladder	Peripheral arterial disease	163|54634	12|323	1.9331600585890834	1.3673532268352189	2.733096129647347	0.0001907725
Skin	Eating disorders	159|54634	8|464	2.289240263827395	1.4803735284198665	3.540066668932063	0.0001962218
Colorectal	Fibromyalgia	241|54634	13|585	1.886871185725731	1.3503365801429201	2.636589220700223	0.0001995519
Secondary	Fatty liver disease	479|54634	55|2125	1.3322137070803899	1.1449824072030546	1.5500616866841759	0.0002055313
Solid	Irritable bowel syndrome	2312|54634	126|1690	1.2032942452772606	1.090910241830102	1.3272558870547944	0.0002161561
Secondary	Urinary Incontinence	479|54634	58|1844	1.328602981050918	1.1427706905562998	1.5446544926682488	0.0002189907
Respiratory	Cholelithiasis	149|54634	20|1625	1.6399028462665957	1.2604314462366777	2.1336196849283473	0.0002298627
Endocrine	Gastrointestinal polyp	164|54634	12|1066	1.898213157012199	1.3467093252916404	2.6755686039924873	0.0002525145
Solid	Asthma	2312|54634	421|6057	1.11406668435912	1.0514017606725385	1.1804665196727593	0.0002551984
Skin	Non-malignant CNS tumour	159|54634	4|89	3.4979602048921237	1.7877229587938928	6.8443074665573	0.0002558243
Digestive	Female genital prolapse	232|30319	32|884	1.4613081095090883	1.1922249651634287	1.791122861300178	0.0002588755
Respiratory	Cardiovascular disease	149|54634	67|4464	1.4091123963032937	1.1719654040611738	1.6942460404846276	0.0002645394
Bladder	Gastritis and duodenitis	163|54634	52|6346	1.3814421641863546	1.1605702045605326	1.6443489980121595	0.0002776472
Digestive	Vitamin B12 deficiency	534|54634	59|1908	1.3100207804157082	1.1311981899002626	1.5171120856127738	0.0003105597
Bladder	Obesity	163|54634	38|5337	1.4260779729709434	1.174928257164873	1.73091282177541	0.0003293682
Lymphoma	Rheumatoid Arthritis	193|54634	12|819	1.8539824479987317	1.3229721575822557	2.5981279332204386	0.0003362957
Secondary	Hyperplasia of prostate	198|24315	51|776	1.3951710161754776	1.1623952977830876	1.674561285724805	0.0003491072
Kidney	Gastritis and duodenitis	182|54634	56|6346	1.3543640386696754	1.1464264620469191	1.6000171052982572	0.0003612947
Haematopoietic	Type 2 Diabetes	515|54634	174|8982	1.2234380876941442	1.0946567896191985	1.3673699086463451	0.0003797754
All	Psoriasis	2782|54634	107|1162	1.213836494150074	1.0906438784364494	1.3509442116365362	0.0003864893
Ovarian	Menorrhagia and polymenorrhoea	117|30319	30|3718	1.487376753180089	1.1937411509875144	1.8532406326701907	0.0004027377
Lung	Cardiovascular disease	130|54634	63|4464	1.4174393937871437	1.168006297398727	1.720140070763504	0.0004114717
All	Oesophagitis and oesophageal ulcer	2782|54634	221|2028	1.1483165496485106	1.063377645346485	1.240040077922651	0.0004198254
Secondary	Bone and joint infections	479|54634	9|173	2.0637423305987714	1.3786300379955059	3.089322218234688	0.0004316068
Digestive	Dermatitis	534|54634	165|11312	1.188534457707674	1.079531065247924	1.3085442398399674	0.000432735
Bladder	Hyperplasia of prostate	113|24315	26|776	1.564576217840116	1.2186460897465903	2.0087035621144995	0.000446319
Solid	Non-spinal osteoarthritis	2312|54634	492|4019	1.1150920973263696	1.0492087115326636	1.1851125251365313	0.0004549069
All	Chronic ulcer of skin	2782|54634	72|506	1.2699163091601282	1.110966538675433	1.4516075652410145	0.0004610795
All	Spinal stenosis	2782|54634	60|306	1.3081657955370294	1.1254079903491871	1.520602095673814	0.0004672971
Lymphoma	Peptic ulcer	193|54634	18|1199	1.629382322907346	1.2390462866249279	2.1426856953299604	0.0004757928
Secondary	Endometriosis	281|30319	20|735	1.5681255674440893	1.2183048678757338	2.0183928178498136	0.0004771945
Colorectal	Venous thromboembolism	241|54634	10|391	1.9498140323457203	1.339446943452408	2.8383167988223925	0.0004910686
Haematopoietic	Constipation	515|54634	117|7662	1.222776386694961	1.091413446381859	1.369950220803544	0.0005232463
Haematopoietic	Unspecified or rare diabetes	515|54634	150|7919	1.2194000798809717	1.0900434959650733	1.3641075427886993	0.0005264877
Urinary	Gastritis and duodenitis	212|54634	63|6346	1.3231218735823793	1.1290370756506216	1.5505704197918486	0.0005410435
Solid	Enthesopathies	2312|54634	557|7084	1.0985741371441076	1.0413270277569757	1.15896841494791	0.0005750756
All	Asthma	2782|54634	489|6057	1.0992774496278683	1.0415961289297835	1.1601530359967498	0.0005774184
Bladder	Thrombocytopenia	163|54634	6|247	2.4297102219129565	1.4655594401725127	4.0281489789137455	0.0005774969
Secondary	Cardiac conduction defects	479|54634	25|366	1.4996713738413963	1.1905913542071378	1.8889892166376838	0.0005785121
Colorectal	Peripheral arterial disease	241|54634	13|323	1.7954936534860937	1.286406458461297	2.506048876313094	0.0005807102
Solid	Unspecified or rare diabetes	2312|54634	691|7919	1.0964847709534364	1.0404247341473156	1.1555654277271121	0.0005816267
Haematopoietic	Supraventricular tachycardia	515|54634	10|180	1.9521005540316099	1.3323014762104957	2.860235945913228	0.0005989479
Kidney	Gastrointestinal polyp	182|54634	20|1066	1.5644839105663548	1.2112638032137353	2.0207075452324874	0.0006079327
Haematopoietic	Liver failure and transplant	515|54634	6|84	2.4965056147383513	1.4795132077653546	4.212561436902409	0.0006091912
Solid	Glaucoma	2312|54634	77|449	1.2589197349353567	1.1034231960772911	1.4363291479135207	0.0006189659
Solid	Fibromyalgia	2312|54634	62|585	1.2768268798424616	1.109670548370927	1.4691629722728154	0.0006410674
Secondary	Hearing loss	479|54634	63|2216	1.2882052879035455	1.1138644372283202	1.489833778975832	0.0006413905
Urinary	Other anaemias	212|54634	42|5077	1.3774583146638504	1.1455141642965474	1.656366606170907	0.0006638111
Respiratory	Urinary Incontinence	149|54634	20|1844	1.574946022087764	1.2123195645336113	2.0460405367163412	0.0006687834
Solid	Psoriasis	2312|54634	91|1162	1.2200453131723874	1.0871781780984686	1.3691505184526342	0.0007226163
Solid	Menorrhagia and polymenorrhoea	1350|30319	242|3718	1.136137100412834	1.0550989900947323	1.2233994374486004	0.0007232596
Haematopoietic	Thyroid disease	515|54634	52|2967	1.3072020325360083	1.1188816727565907	1.5272188252546444	0.0007372833
Secondary	Epilepsy	479|54634	13|418	1.7377549126288732	1.260515192083972	2.3956808734476662	0.0007426595
Haematopoietic	Polymyalgia rheumatica	515|54634	8|71	2.219766477420125	1.3953846611177136	3.5311863112579256	0.00076086
Colorectal	Cholelithiasis	241|54634	26|1625	1.4665914986173274	1.1705874537227792	1.83744547831622	0.0008703319
Solid	Spondylosis	2312|54634	191|1570	1.1529524497767019	1.0602569707716551	1.2537520507680644	0.0008738409
Respiratory	Non-rheumatic valvular heart disease	149|54634	14|456	1.6987607251204926	1.2428393494894485	2.3219316337202938	0.0008889091
Lung	Urinary Incontinence	130|54634	18|1844	1.5966584873559233	1.2112239775146239	2.1047455900574144	0.0009018891
All	Aortic aneurysm	2782|54634	16|41	1.7001270779437219	1.2423357039200196	2.326611134202371	0.0009140244
Secondary	Pancreatitis	479|54634	13|255	1.7226865156698838	1.2487721642846394	2.376453380485836	0.0009215308
Breast	Peripheral arterial disease	428|30319	10|100	1.8663469171191926	1.2876587410820772	2.7051040030320324	0.0009837879
All	Hyperprolactinaemia and prolactinoma	2782|54634	19|192	1.5395081772569847	1.1909321502182948	1.9901095351290106	0.0009876244
Respiratory	Iron deficiency	149|54634	34|5670	1.4104559205045692	1.1488481135420852	1.7316352616472446	0.001017356
Solid	Aortic aneurysm	2312|54634	14|41	1.7458909527546413	1.2521017257796783	2.434414996922434	0.001017944
Solid	Folate deficiency	2312|54634	112|1450	1.1900627061751785	1.0724474017928314	1.3205768807509046	0.001047789
Bladder	Obstructive and reflux uropathy	163|54634	8|459	2.0021928401391023	1.3208948716848137	3.0348941880522666	0.001069887
Secondary	End stage renal disease	479|54634	9|130	1.9429277792641713	1.3047126174369137	2.893333217587998	0.00107864
Lung	Intervertebral disc disorders	130|54634	20|1731	1.531967719080314	1.186230746201306	1.9784726536719368	0.00108044
Respiratory	Respiratory failure	149|54634	7|169	2.165410606383277	1.3620669470406754	3.442564335346993	0.001089332
Colorectal	Liver fibrosis, sclerosis and cirrhosis	241|54634	6|131	2.405926335296438	1.4205329526978658	4.074866070427658	0.001091621
Digestive	Crohns disease	534|54634	9|253	1.916826588234141	1.2966223876016683	2.8336886702669566	0.001104538
Haematopoietic	Non-spinal osteoarthritis	515|54634	106|4019	1.2453816137273532	1.0914357332719826	1.4210414012747445	0.001115466
Prostate	Hyperprolactinaemia and prolactinoma	196|24315	2|19	5.795200065445443	2.014581819271063	16.67062785798926	0.001117084
Lung	Cholelithiasis	130|54634	17|1625	1.589392710195564	1.2019204829824524	2.101777299738124	0.001153769
Solid	Vitamin B12 deficiency	2312|54634	185|1908	1.150174879564116	1.0570842812592365	1.2514633667662152	0.001157278
All	Irritable bowel syndrome	2782|54634	139|1690	1.1663369201434062	1.0626792186833203	1.2801057810983596	0.001194428
Solid	Liver failure and transplant	2312|54634	14|84	1.690222200706042	1.2293498347531606	2.323871535178754	0.001232837
Haematopoietic	Enthesopathies	515|54634	119|7084	1.2048884619965905	1.076030419230176	1.349177662552643	0.001238734
Haematopoietic	Vitamin B12 deficiency	515|54634	46|1908	1.3202392893768191	1.1152132385908762	1.5629582943407399	0.001253507
Kidney	Irritable bowel syndrome	182|54634	16|1690	1.5818420145845602	1.1968789336715497	2.090624280125901	0.001268101
Thyroid	Endometriosis	87|30319	8|735	1.9818940928603952	1.3065093467624838	3.0064110946073463	0.001292772
Respiratory	Hearing loss	149|54634	29|2216	1.4339745579432668	1.1512470198926363	1.7861353795472612	0.001295086
Colorectal	Anxiety and phobia	241|54634	44|5138	1.3257429244445944	1.116293006359375	1.5744919046362567	0.001309283
Respiratory	Other anaemias	149|54634	37|5077	1.3850510525404687	1.1353556615037073	1.6896612076630724	0.001319826
All	Thalassaemia	2782|54634	29|263	1.4008833472925757	1.1400607152734596	1.7213768761876196	0.001340981
Secondary	Nephritides	479|54634	16|332	1.5881677606947158	1.1955735160464365	2.10967941515702	0.001408158
Digestive	Aortic aneurysm	534|54634	7|41	2.133792685825763	1.3385692504564415	3.401446151949899	0.00144408
Solid	End stage renal disease	2312|54634	22|130	1.4938235888704354	1.1668873277332705	1.9123602267586117	0.00144896
Male genital	Hyperprolactinaemia and prolactinoma	222|24315	2|19	5.225183934466604	1.8833262962898616	14.496981857468729	0.001493827
Secondary	Intracerebral haemorrhage	479|54634	6|45	2.318063178142055	1.3790390003108888	3.8964937878092414	0.001509228
Lung	Intracerebral haemorrhage	130|54634	4|45	0.002486000710731634	6.085795595965932e-05	0.10155121768885629	0.001532984
Lung	Non-rheumatic valvular heart disease	130|54634	13|456	1.6822345518240192	1.218949180340911	2.3216005498761643	0.001552681
All	Migraine	2782|54634	245|4017	1.120840667799418	1.0443279494935465	1.2029590926895024	0.001565104
Lymphoma	Neuromuscular bladder dysfunction	193|54634	8|477	1.9363659601620955	1.2854039668083013	2.9169920340176274	0.001572236
Lymphoma	Depression	193|54634	44|7686	1.3266261633181722	1.11333555296539	1.5807785644792072	0.001574837
Bladder	Type 2 Diabetes	163|54634	81|8982	1.315285825755663	1.1093835270421974	1.559403724017937	0.001604672
Lung	Vitamin B12 deficiency	130|54634	21|1908	1.4987808335619819	1.1655645477674494	1.927258332758534	0.001609301
Digestive	Eating disorders	534|54634	15|464	1.5963487656533528	1.1935235279399863	2.135131249571077	0.001619669
Lymphoma	Hypertension	193|54634	74|9327	1.3495753669887156	1.1196699428586223	1.6266880099796548	0.001653553
Digestive	Oesophagitis and oesophageal ulcer	534|54634	63|2028	1.2524679940528956	1.0884538946282172	1.441196621987095	0.001668903
Lymphoma	Gastritis and duodenitis	193|54634	45|6346	1.3326947230468038	1.1141486336620492	1.5941097724089908	0.001673332
Breast	Personality disorder	428|30319	17|470	1.530038655319657	1.1729350062561776	1.9958636022336338	0.001711032
Digestive	End stage renal disease	534|54634	10|130	1.8126883144911583	1.2499295628418696	2.6288192736413363	0.001711083
All	Bone and joint infections	2782|54634	24|173	1.4475782677678253	1.1487233554114435	1.824184066113245	0.001717355
Endocrine	Cerebrovascular disease	164|54634	8|692	1.9392920814275083	1.2809257772767622	2.936043480273292	0.001747845
Lung	Congenital cardiac disease	130|54634	5|245	2.405356198318873	1.3877296687952498	4.169211461634226	0.001762225
Lymphoma	Non-rheumatic valvular heart disease	193|54634	10|456	1.787980910070545	1.2420170608361591	2.5739386644370823	0.001772469
Bladder	Cholelithiasis	163|54634	17|1625	1.5408789494378816	1.1740552246083016	2.0223136757582476	0.001828513
All	Epilepsy	2782|54634	40|418	1.3173919675409902	1.10765954582804	1.566836671681566	0.001834888
Digestive	Urinary calculus	534|54634	40|1373	1.314207733456795	1.1064357844662684	1.5609961200873481	0.001858426
Lymphoma	Supraventricular tachycardia	193|54634	5|180	2.3668714031245184	1.375271216456995	4.073436695171178	0.001868503
Respiratory	Vitamin B12 deficiency	149|54634	22|1908	1.4710449520648368	1.1530647528143791	1.8767144219035847	0.001895307
Respiratory	Intracerebral haemorrhage	149|54634	4|45	0.018367178212848605	0.0014700859654550214	0.22947857705594976	0.001919187
Haematopoietic	Fatty liver disease	515|54634	41|2125	1.3193932871650047	1.1072707635446892	1.5721526328784152	0.001938644
Male genital	Hypertension	222|24315	142|4760	1.2802367221345456	1.0945530823692202	1.4974203545743874	0.002001175
Solid	Personality disorder	2312|54634	59|749	1.2511786161626264	1.085114097011938	1.4426574439069355	0.002040246
Lung	Iron deficiency	130|54634	30|5670	1.4076842805105143	1.1323619132094642	1.749948501870756	0.002073815
Bladder	Heart failure	163|54634	17|662	1.545162372041361	1.1707079836117866	2.0393870968630914	0.002118364
Colorectal	End stage renal disease	241|54634	6|130	2.2229118931809495	1.335003348381495	3.70136695974283	0.0021358
Endocrine	Osteoporosis	164|54634	6|323	2.1527842406347752	1.319341092998972	3.512723139844669	0.002145136
Non-Melanoma Skin	Non-malignant CNS tumour	129|54634	3|89	3.2098364959386725	1.5238942727165488	6.7610007564981975	0.00215224
Urinary	Non-acute cystitis	212|54634	4|103	2.7498874951855763	1.441069058672684	5.247410726549757	0.00215275
Kidney	Sleep apnoea	182|54634	11|621	1.6969423263102663	1.2095943312916713	2.3806438111761725	0.002201103
Lymphoma	Menorrhagia and polymenorrhoea	72|30319	18|3718	1.5463742543368268	1.1688416784512445	2.0458487907825953	0.002269553
Endocrine	Visual impairment	164|54634	8|712	1.8851341773788046	1.2545139917368915	2.832755067005251	0.002278595
Solid	Oesophagitis and oesophageal ulcer	2312|54634	186|2028	1.1377663519576533	1.0472384459168034	1.2361198891182297	0.002279756
Haematopoietic	Oesophagitis and oesophageal ulcer	515|54634	46|2028	1.295602709989872	1.096493626200204	1.5308674323535145	0.002349692
Colorectal	Diverticular disease	241|54634	14|409	1.6108935096618848	1.1847938580465436	2.190235779707126	0.002351625
Gynaecological	Atrial fibrillation and flutter	361|30319	9|122	1.8118582933324758	1.2349614067542976	2.6582453971137006	0.002372765
Colorectal	Constipation	241|54634	67|7662	1.2627930827772391	1.0863591849117717	1.4678813343300925	0.00237534
Solid	Chronic ulcer of skin	2312|54634	59|506	1.251801858287884	1.0828806426292494	1.4470735099745458	0.002392487
Digestive	Alllergic and chronic rhinitis	534|54634	149|11166	1.1642859725272738	1.0552183918520754	1.2846267998082883	0.002437319
Endocrine	Hypertension	164|54634	46|9327	1.3881445509530443	1.1227712505063974	1.7162403236380779	0.002447375
Haematopoietic	Diverticular disease	515|54634	20|409	1.4796210386172448	1.1479432696555725	1.9071311934915065	0.002482714
Gynaecological	Obesity	361|30319	81|3940	1.2209619113421124	1.0726831902562988	1.3897374383129804	0.00251009
Lung	Venous thromboembolism	130|54634	7|391	1.995514675945444	1.2741628312358626	3.1252511251260318	0.002539694
Endocrine	Hyperprolactinaemia and prolactinoma	164|54634	4|192	2.560060778983323	1.3900859225273166	4.714752581749067	0.002551763
Uterine	Hyperprolactinaemia and prolactinoma	102|30319	3|173	3.1044606605753367	1.4843113985050762	6.49302835157531	0.002620413
All	Type 1 Diabetes	2782|54634	64|422	1.2422782596451922	1.0784156960365296	1.4310393293226067	0.002646779
Respiratory	Congenital cardiac disease	149|54634	5|245	2.2773101779398326	1.328139910769563	3.9048157535928203	0.002775995
Digestive	Spinal stenosis	534|54634	19|306	1.4727626636136408	1.142732038134156	1.8981089100082649	0.002783422
Haematopoietic	Gastro-oesophageal reflux disease	515|54634	104|6440	1.197163489552634	1.063961348859745	1.3470418096050303	0.002788018
Respiratory	Anxiety and phobia	149|54634	28|5138	1.3862038945319488	1.1189360069698437	1.7173111109537562	0.002804966
Urinary	Irritable bowel syndrome	212|54634	17|1690	1.5016687654091925	1.150052139450498	1.9607885622325136	0.002815581
Digestive	Non-rheumatic valvular heart disease	534|54634	28|456	1.3809849824977523	1.1172584589201138	1.7069636006404858	0.002831228
Kidney	Other anaemias	182|54634	35|5077	1.346908545268984	1.1073502241456934	1.6382916531382057	0.002877548
Lung	Anxiety and phobia	130|54634	25|5138	1.411755548794315	1.124387901464601	1.7725677472653636	0.00298157
Lymphoma	Oesophagitis and oesophageal ulcer	193|54634	20|2028	1.4523007165190733	1.1345121332726433	1.8591051689483704	0.003059821
